Name, x-Offset, MPV, Width
ADC_1_0, 21.5, 228.023, 47.1573
ADC_1_1, 105.5, 210.267, 45.5482
ADC_1_2, 168.5, 190.674, 41.0596
ADC_1_3, 126.5, 282.573, 58.4938
ADC_1_4, 21.5, 92.0807, 20.2847
ADC_1_5, 252.5, 69.6853, 12.8379
ADC_1_6, 21.5, 167.027, 43.2467
ADC_1_7, 21.5, 90.4945, 23.0674
ADC_1_8, 21.5, 103.777, 28.0124
ADC_1_9, 231.5, 117.744, 21.4754
ADC_1_10, 63.5, 110.278, 23.919
ADC_1_11, 63.5, 102.906, 20.1118
ADC_2_0, 42.5, 89.9294, 21.6833
ADC_2_1, 189.5, 77.696, 15.5069
ADC_2_2, 42.5, 105.088, 22.6092
ADC_2_3, 42.5, 111.356, 27.4472
ADC_2_4, 21, 75.1932, 16.9502
ADC_2_5, 21, 75.0534, 15.8182
ADC_2_6, 21.5, 88.6319, 29.3248
ADC_2_7, 42.5, 54.6325, 49.2676
